"Kiambu",15.08,19.05,20.48,19.05,21.43,21.43,19.53,19.05,15.71,15.05,16.67,16.67
"Limuru",18.25,19.00,17.50,21.50,21.25,22.50,21.43,22.50,17.50,23.53,17.50,15.00
"Thika",19.05,19.05,18.18,20.00,"-",20.00,19.05,19.05,20.00,18.18,18.10,20.00
"Gatundu",21.00,19.05,23.81,19.05,"-",21.43,18.18,"-","-",19.05,15.22,19.05
"Muthithi",19.05,"-",16.67,21.43,22.50,"-","-",14.29,"-",14.29,15.24,13.33
"Mukuyu",21.05,20.00,21.05,20.00,23.68,23.81,23.68,18.42,18.42,18.42,17.55,16.67
"Kiriaini",19.05,19.05,19.05,19.05,23.81,23.81,23.81,16.67,16.67,16.67,16.67,16.67
"Engineer",16.67,19.05,16.67,16.67,16.67,16.97,19.05,18.18,19.05,19.05,19.05,20.00
"Nyeri",19.05,20.00,19.05,20.00,21.43,21.43,21.43,19.05,19.05,19.05,"-","-"
"Endarasha",14.29,19.05,19.05,"-","-",19.05,19.05,19.05,16.67,19.05,19.05,19.05
"Karatina",16.59,18.18,"-",18.18,20.45,20.45,"-",18.18,"-",15.91,15.91,15.91
"Gakindu","-","-",20.00,19.05,17.50,20.00,21.43,22.50,19.05,22.50,16.67,20.00
"Nanyuki",19.05,19.05,21.05,"-","-","-","-","-",20.91,18.18,20.00,22.22
"Mariakani",18.00,19.00,19.00,18.00,22.00,22.00,18.00,18.00,22.00,22.00,22.00,22.00
"Kaloleni",20.00,20.00,20.00,20.00,"-",22.00,22.00,20.00,20.00,20.00,20.00,20.00
"Malindi",23.80,27.17,27.78,28.41,25.00,31.58,25.00,25.00,25.77,20.00,20.00,25.00
"Kibauni Kilifi",20.00,19.00,19.00,20.00,22.00,22.00,20.00,19.00,19.00,22.00,20.00,21.00
"Ukunda",30.00,30.00,30.00,31.33,35.00,32.00,32.00,32.00,32.00,38.00,35.00,35.00
"Mwembe Tayari",18.00,25.00,"-",20.00,"-",18.00,20.00,20.00,18.00,18.00,20.00,20.00
"Majengo","-","-","-","-","-","-","-","-","-","-","-","-"
"Sega",19.50,22.00,24.00,24.00,20.00,22.00,20.00,21.00,20.00,18.00,22.00,20.00
"Voi","-","-","-","-","-","-","-","-","-","-","-","-"
"Mackinon","-","-","-","-","-","-",20.00,"-","-","-","-","-"
"Kongowea",18.00,17.50,20.00,20.00,22.00,24.00,20.00,21.00,15.00,22.00,22.00,20.00
"Hola",20.00,20.00,20.00,20.00,"-","-","-",16.00,20.00,16.00,15.00,"-"
"Garsen","-",20.00,20.00,20.00,20.00,20.00,"-","-",20.00,17.50,"-","-"
"Runyenjes",17.50,20.00,20.00,20.00,20.00,20.00,19.05,20.00,20.00,20.00,20.00,17.50
"Embu Town",17.50,15.00,17.50,20.00,20.00,20.00,20.00,20.00,17.50,18.75,17.50,17.50
"Siakago","-",20.00,17.50,20.00,20.00,19.53,17.50,13.50,15.00,"-",20.00,17.50
"Mwingi",17.00,17.00,20.00,20.00,22.00,22.00,21.00,18.00,16.00,"-",17.00,16.00
"Migwani",18.00,18.00,20.00,18.00,20.00,20.00,20.00,20.00,17.17,18.00,18.00,"-"
"Kalundu",17.00,20.00,17.00,20.41,20.00,22.00,20.00,17.00,17.00,17.00,"-","-"
"Machakos Town",20.00,20.00,18.00,20.11,20.00,18.00,18.00,15.00,15.00,18.00,21.05,"-"
"Tala",17.57,18.00,"-",19.05,20.00,17.00,16.67,17.00,12.00,11.90,22.00,12.00
"Maua",21.11,21.11,22.22,22.22,"-",20.00,20.00,15.00,"-",22.22,20.00,20.00
"Kianjai",18.89,17.78,16.67,18.34,18.00,21.11,21.11,18.89,"-",18.89,18.89,18.89
"Mwendantu",14.10,15.45,13.64,13.64,16.00,15.45,18.18,18.18,16.36,16.36,16.36,15.45
"Wote",17.00,20.00,18.00,20.00,21.00,20.00,17.00,17.00,17.00,16.00,16.00,"-"
"Garissa Town","-","-","-","-","-","-","-","-",20.00,29.41,"-",22.22
"Daraja Mbili",13.74,15.91,18.18,18.18,21.82,21.74,22.86,12.73,12.73,13.64,16.67,15.91
"Kibirigo",15.24,17.39,18.75,19.79,23.48,25.00,17.82,15.91,14.58,17.62,16.67,15.91
"Riochanda",12.51,16.67,15.83,19.59,24.17,25.00,12.50,11.90,"-",14.29,14.29,16.67
"Nyabite",13.61,18.75,17.50,"-",20.83,21.57,15.00,15.71,"-",15.71,15.71,15.71
"Kibuye",16.82,18.18,"-",20.45,,20.45,17.27,,15.91,,,14.55
"Mogonga","-","-","-","-","-","-","-","-","-",12.27,15.24,15.24
"Nyamache","-","-","-","-","-","-","-",14.29,"-",11.90,15.24,16.67
"Ahero",15.76,18.18,"-",20.45,20.45,20.45,,14.55,14.55,,"-",16.67
"Homa Bay","-","-","-","-","-","-","-","-","-","-","-","-"
"Oyugis",14.55,15.22,19.09,20.66,20.45,23.91,"-","-","-","-","-","-"
"Kehancha","-","-","-","-","-","-","-",16.67,19.05,19.05,19.05,21.43
"Kiboswa",15.45,17.27,"-",19.55,,20.45,16.36,13.18,13.33,15.71,16.67,16.67
"Sondu",15.91,18.18,"-","-",21.82,20.91,"-",13.64,14.55,14.29,15.71,15.24
"Bondo",16.50,17.50,17.50,21.00,20.00,17.50,15.00,14.00,15.00,15.00,15.00,15.00
"Akala","-","-",18.18,"-",,,,,,,"-","-"
"Siaya",14.55,14.09,"-","-","-","-","-","-","-","-","-","-"
"Ugunja",14.29,14.55,"-",17.27,18.18,,16.36,,,,"-","-"
"Oyugis",14.55,"-","-",20.66,20.45,23.91,,,,,"-","-"
"Kabarnet",13.00,15.00,15.00,16.00,18.00,19.00,19.00,18.00,,17.00,17.00,"-"
"Litein",16.67,19.05,"-","-",,,,,,16.67,16.67,"-"
"Nakuru Town",22.22,20.00,20.00,20.00,20.00,22.22,22.22,22.22,22.22,22.22,22.22,22.22
"Kapsabet",13.04,17.39,17.39,17.39,18.70,"-",19.05,15.32,11.36,10.87,13.33,"-"
"Kilgoris","-","-",17.62,20.45,22.61,23.64,21.43,"-","-",14.29,"-","-"
"Eldoret","-",16.00,"-",15.24,16.67,,22.50,15.00,,11.90,"-","-"
"Burnt Forest","-",15.00,15.22,19.00,19.00,,,17.50,17.50,16.67,16.67,10.00
"Turbo",10.42,12.50,15.22,17.50,14.58,19.95,20.23,19.00,13.64,14.29,"-",11.90
"Kipkaren",15.00,15.45,13.04,15.91,16.00,16.80,16.60,12.73,13.03,13.33,"-","-"
"Iten",12.57,12.50,14.29,14.29,16.67,19.05,19.05,,,14.29,14.29,"-"
"Flax",14.29,14.00,"-","-","-","-","-","-","-","-","-","-"
"Kajiado Township",20.00,22.00,20.00,20.00,"-",20.00,20.00,20.00,25.00,25.00,25.00,20.00
"Kapkateny",10.15,15.65,15.22,15.22,19.57,19.57,19.13,14.13,11.36,10.95,11.90,13.33
"Kapsokwony",10.76,15.22,15.22,15.65,19.57,19.57,18.05,13.04,13.04,11.43,"-","-"
"Bumala",14.29,16.67,16.19,"-",,,,,11.90,,"-","-"
"Busia Town",13.33,15.71,"-",20.00,,,,9.52,,,"-","-"
"Butere",15.61,15.91,15.91,20.00,20.00,19.13,22.86,,,13.64,"-","-"
"Kakamega Town",12.73,"-","-",18.18,"-",21.36,22.86,"-","-",13.18,12.73,13.64
"Mumias",15.24,17.50,15.91,18.14,19.09,20.45,21.90,,,15.00,"-","-"
"Mudete",15.00,16.67,18.10,18.10,20.00,22.86,20.48,20.21,14.29,13.33,14.29,14.29
"Cheptulu",14.17,16.00,18.50,18.34,20.00,22.50,14.29,16.67,26.41,14.29,14.29,14.29
"Mbale",15.46,16.67,15.91,15.91,18.18,20.45,19.05,13.64,28.23,14.29,14.29,14.29
"Kawangware",21.43,22.00,21.43,21.40,21.43,23.81,21.43,21.43,19.00,18.18,20.00,23.53
"Burma",22.50,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00
"Gikomba",20.00,20.00,21.05,20.00,25.51,25.51,22.22,22.22,21.51,20.41,20.50,22.22
"Kangemi",21.05,21.43,21.43,20.45,21.43,22.86,23.81,23.81,20.00,18.10,20.00,21.62
"Korogocho",21.28,20.00,22.22,20.00,25.00,25.00,21.05,21.05,21.86,21.86,21.86,23.53
"Kibera(Toi)",19.05,20.48,20.48,21.43,21.43,21.43,23.86,23.86,16.67,16.19,19.05,21.16