Town,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUG,SEP,OCT,NOV                   ,DEC,year
Riochanda,22.8,27.2,29.4,-,-,-,-,-,-,-,-,-,2015
Nyabite,31.9,26.0,32.0,35.4,-,-,-,-,-,-,-,-,2015
Mogonga,36.4,27.3,27.3,34.1,38.2,-,-,-,-,-,-,-,2015
Igare,35.6,28.1,35.6,36.9,37.5,38.6,43.5,43.5,28.3,26.1,-,-,2015
Kibuye,30.2,27.2,28.9,31.1,35.2,35.4,35.1,30.5,30.1,30.8,-,-,2015
Ahero,-,25.3,29.5,32.9,34.2,34.1,33.4,30.9,29.5,29.3,-,-,2015
Kiboswa,32.2,28.9,29.6,30.9,33.8,-,37.5,30.8,30.8,30.3,-,-,2015
Sondu,-,25.7,30.1,33.5,33.5,35.4,34.5,29.3,29.2,28.9,-,-,2015
Bondo,27.7,22.9,30.2,31.5,36.6,34.7,34.0,29.3,27.4,-,-,-,2015
Siaya,27.2,-,-,-,-,-,33.2,29.8,-,-,-,-,2015
Ngiya,-,23.9,-,-,-,-,34.7,27.5,-,-,-,-,2015
Unguja,26.4,-,-,-,-,-,35.4,27.6,-,-,-,-,2015
Kegonga,25.4,20.8,24.2,31.3,31.7,34.8,37.0,32.5,37.0,-,-,-,2015
Homabay,28.0,31.0,31.3,36.6,-,32.4,35.3,-,-,-,-,-,2015
Oyugis,27.2,28.5,30.7,33.3,34.8,33.2,35.4,-,-,-,-,-,2015
Kehacha,24.0,24.0,24.0,32.0,32.0,-,32.0,32.0,-,32.0,-,-,2015
Migori,24.0,28.0,32.0,32.0,32.0,-,28.3,30.4,30.4,-,-,-,2015
Kabarnet,27.8,27.8,33.3,38.9,38.9,38.9,38.9,-,-,-,-,-,2015
Kimulot,-,27.5,31.3,36.0,34.0,-,38.4,37.5,-,-,-,-,2015
Sotik,-,29.1,31.5,36.0,36.0,-,42.7,36.0,32.0,-,-,-,2015
Bomet,-,30.8,31.0,-,36.4,-,36.0,36.0,-,-,-,-,2015
Muthurwa Narok,29.0,32.5,36.5,40.0,36.5,39.0,3.0,38.0,33.8,32.5,-,-,2015
Nakuru Town,40.0,47.5,47.2,48.8,51.4,50.0,49.1,46.4,47.5,52.5,-,-,2015
Kapsabet,30.4,29.4,30.4,30.4,37.0,39.1,39.1,43.5,43.5,-,-,-,2015
Mulot,-,-,-,-,-,-,-,35.0,-,-,-,-,2015
Kitale,22.9,22.9,22.9,29.2,-,-,-,-,-,-,-,-,2015
Eldoret,30.0,27.0,27.5,30.0,31.8,36.6,32.0,32.0,32.0,32.0,24.5,24.0,2015
Burn Forest,31.0,30.6,35.0,35.6,35.0,35.0,34.6,35.0,35.0,34.7,30.0,30.0,2015
Turbo,20.0,22.0,24.0,31.6,35.0,35.0,35.0,36.7,30.0,28.3,28.1,25.0,2015
Kipkaren,20.0,21.5,24.0,32.1,35.0,35.0,35.0,37.5,30.0,30.0,26.3,25.0,2015
Iten,30.9,30.0,30.0,33.8,35.7,35.0,31.0,33.4,33.8,29.6,26.7,24.0,2015
Kajiado,40.0,40.0,40.0,40.0,40.0,40.0,43.0,-,46.3,45.0,45.0,50.0,2015
Bungoma Town,28.6,27.1,29.0,34.3,34.3,33.3,37.0,32.5,25.1,24.6,24.3,25.4,2015
Kimilili,-,23.9,26.2,-,-,-,-,24.0,22.8,-,20.2,-,2015
Kapsokwony,22.0,22.0,24.4,20.4,-,-,-,26.5,25.3,-,21.1,20.6,2015
Bumala,26.7,27.4,30.2,31.0,33.9,36.1,36.5,25.5,23.8,25.6,28.6,32.7,2015
Busia Town,31.4,23.8,26.2,31.6,35.1,36.5,36.1,25.5,25.0,26.2,27.4,35.7,2015
Butere,27.3,26.6,27.9,29.6,36.1,38.5,39.2,34.1,28.4,28.6,30.7,27.2,2015
Kakamega,28.2,27.3,30.4,33.2,34.9,39.1,38.8,37.1,30.8,24.4,29.0,31.5,2015
Mumias,27.2,26.5,28.3,31.8,34.4,38.6,38.5,33.0,28.4,28.2,30.7,27.8,2015
Mundeta,25.0,24.8,25.4,31.6,33.3,33.3,-,32.7,33.3,33.3,-,-,2015
Cheptula,25.0,23.8,28.6,32.0,35.7,33.9,34.1,-,33.3,31.0,30.4,28.6,2015
Mbale,23.8,23.8,26.2,30.2,33.3,33.3,29.8,31.0,30.0,28.6,28.6,-,2015
Muthurwa,45.0,43.5,45.5,47.6,50.0,45.5,47.6,45.5,45.5,47.6,47.6,45.0,2015
Kawangware,42.9,42.9,45.0,45.5,50.0,47.6,42.9,47.6,47.6,50.0,50.0,47.6,2015
Burma,45.0,45.0,50.0,45.5,50.0,45.0,45.0,45.5,45.5,50.0,50.0,50.0,2015
Gikomba,45.6,-,-,-,-,40.0,47.6,47.6,47.6,45.5,50.0,47.6,2015
Kangemi,42.9,42.9,45.5,45.5,45.5,45.2,47.6,45.5,45.5,50.0,49.3,47.6,2015
Korokocho,44.7,43.3,44.7,46.5,46.5,-,-,-,45.0,45.0,47.5,43.9,2015
Toi,45.0,45.5,50.0,47.6,50.0,40.0,47.5,45.2,45.2,42.9,45.0,90.0,2015
Kiambu,49.4,45.0,45.0,45.0,40.0,45.0,43.8,40.0,40.0,40.0,40.0,-,2014
Limuru,40.0,40.0,40.0,40.0,43.3,45.0,40.0,40.0,40.0,40.0,40.0,-,2014
Thika,46.3,47.5,47.1,47.8,48.0,45.0,45.0,45.0,42.5,50.0,50.0,-,2014
Gatundu,29.7,19.9,22.0,25.7,29.3,40.0,-,40.3,43.4,43.5,41.9,-,2014
Kutus,36.2,40.9,37.5,33.9,35.0,34.4,35.5,27.8,26.0,27.8,28.0,-,2014
Sagana,38.4,38.7,42.2,39.6,41.3,41.6,37.8,32.5,30.8,35.9,37.9,-,2014
Kerugoya,37.4,36.4,37.3,37.5,39.6,40.0,38.3,34.8,33.7,34.5,33.7,-,2014
Muthithi,38.1,38.1,35.7,33.3,35.8,36.4,34.5,31.8,31.8,31.8,-,-,2014
Makuyu,38.1,38.1,38.1,39.3,38.6,40.5,38.1,36.3,29.2,-,-,-,2014
Kiriaini,40.8,-,-,38.6,38.6,38.1,38.1,29.9,-,-,-,-,2014
Engineer,-,45.0,45.0,40.0,40.0,40.0,40.0,42.5,40.0,40.0,,-,2014
Nyeri,-,-,-,-,44.7,38.7,42.5,40.0,45.0,44.0,37.7,40.0,2014
Endarasha,43.0,45.2,48.8,-,48.0,48.2,47.2,46.0,41.3,42.1,32.4,38.1,2014
Karatina,38.6,42.7,48.8,-,44.2,44.4,41.6,41.7,36.5,35.3,34.2,38.8,2014
Gakindu,38.1,38.1,38.1,-,45.0,42.5,44.1,42.9,39.7,35.4,38.3,34.4,2014
Nanyuki,43.2,44.6,41.1,45.9,45.5,47.1,46.3,45.2,46.1,45.3,44.7,36.7,2014
Nyahururu,31.8,31.8,35.2,36.4,36.4,37.9,40.9,36.4,40.9,34.1,28.2,38.6,2014
Kaloleni,39.4,40.0,40.0,40.0,40.0,40.0,40.0,39.5,38.0,36.2,35.0,-,2014
KibauniKilifi,43.8,45.0,45.0,45.0,45.0,42.5,40.0,40.0,40.0,43.0,45.0,-,2014
Ukunda,39.0,40.0,40.0,40.0,40.0,45.0,45.0,42.0,42.5,32.5,35.0,30.0,2014
Kwale,40.5,44.1,43.3,42.0,39.2,38.8,45.0,44.0,42.5,42.0,38.3,38.8,2014
MwembeTayari,57.7,57.5,45.8,47.5,48.4,50.0,51.0,51.3,48.8,47.0,41.7,42.0,2014
Majengo,41.2,43.8,42.5,44.5,43.6,45.0,44.0,45.0,45.0,45.0,45.0,45.0,2014
Mackinon,50.0,50.0,60.0,60.0,60.0,56.3,-,-,-,-,-,-,2014
Sega,45.0,42.5,45.0,44.0,45.0,-,46.3,45.0,45.0,45.0,45.0,45.0,2014
Kongowea,37.6,35.8,38.0,39.5,38.8,40.5,44.0,46.5,43.3,36.4,40.0,39.9,2014
Hola,40.0,40.0,35.0,32.0,25.0,42.5,36.3,30.0,30.0,31.3,35.0,-,2014
Garsen,-,-,-,40.0,-,37.5,44.0,40.0,40.0,40.0,-,-,2014
BuraTana,-,35.0,40.0,27.5,39.2,45.0,35.0,27.5,30.0,22.5,30.0,-,2014
Runyenjes,34.6,37.7,36.0,34.3,36.4,38.6,37.5,30.7,27.1,30.2,32.0,31.9,2014
Embu Town,34.1,36.4,33.0,35.2,36.4,40.9,39.4,31.8,31.8,30.9,31.8,32.2,2014
Siakago,38.1,38.1,38.1,36.4,36.4,40.9,40.9,34.1,31.8,31.8,31.8,32.3,2014
Mwingi,35.0,35.0,35.0,35.0,39.4,35.8,35.0,31.2,28.3,26.0,26.7,26.7,2014
Kalundu,35.7,35.0,35.0,35.0,35.0,37.0,35.0,35.0,31.0,30.0,28.0,,2014
Machakos Town,44.4,40.0,42.3,40.0,36.0,40.0,39.0,42.8,35.0,35.8,36.7,40.0,2014
Tawa,-,-,37.0,36.5,36.1,35.3,36.1,35.3,-,37.5,31.8,-,2014
Tala,36.7,37.7,32.5,-,-,35.0,35.0,37.5,38.0,35.6,35.0,-,2014
Maua,-,-,-,-,-,-,40.0,40.0,40.0,-,-,30.0,2014
Kianjai,-,-,-,-,-,-,-,-,33.3,33.3,35.6,33.3,2014
Gakoromere,-,-,-,-,-,-,-,-,37.0,34.2,33.3,34.8,2014
Chuka Town,-,-,42.9,41.9,48.0,46.5,62.1,46.4,38.5,41.2,37.6,,2014
Kaanwa,-,-,35.0,45.0,39.1,-,-,32.8,37.4,32.5,30.6,,2014
Wote,35.0,35.4,35.3,35.3,35.4,37.7,36.6,35.3,33.3,36.5,32.2,30.0,2014
Wajir Town,-,-,-,-,50.0,60.0,50.0,50.0,50.0,49.2,-,-,2014
Marsabit,40.0,40.0,-,-,-,46.7,50.0,51.3,,45.0,-,-,2014
DarajaMbili,38.9,38.2,40.1,38.4,38.6,40.3,38.4,34.9,31.1,31.3,34.7,-,2014
Kibirigo,37.5,35.4,35.4,37.0,-,41.3,-,-,-,-,-,-,2014
Nyangusu,36.4,36.4,38.1,35.7,34.7,39.1,39.1,37.0,31.9,30.4,28.3,,2014
Riochanda,-,34.8,37.0,37.0,41.3,37.2,-,-,-,-,-,-,2014
Nyabite,-,35.0,39.1,34.8,41.3,38.5,39.1,-,-,-,-,-,2014
Mogonga,39.1,-,37.5,35.8,39.0,45.5,45.5,40.9,34.7,31.8,31.3,-,2014
Igare,36.8,33.7,36.5,35.8,39.7,39.8,38.9,34.1,33.0,32.8,31.5,-,2014
Kibuye,38.7,38.3,36.5,37.0,37.8,38.7,39.6,35.9,30.4,30.4,31.6,30.9,2014
Ahero,40.9,40.9,40.9,-,40.9,43.9,-,-,30.4,29.9,-,-,2014
Kiboswa,37.7,37.9,36.0,36.3,36.5,38.6,41.1,32.9,30.3,-,30.8,,2014
Sondu,40.9,40.9,40.9,-,40.9,42.4,-,-,29.1,31.7,-,-,2014
Bondo,34.3,33.5,46.5,36.1,38.6,39.7,40.9,32.6,32.2,31.6,30.1,27.2,2014
Siaya,31.3,30.6,35.5,36.4,36.4,37.2,-,33.5,32.9,31.3,28.6,27.4,2014
Ngiya,32.0,32.9,33.3,40.3,36.4,-,-,31.9,27.6,29.6,29.3,27.5,2014
Unguja,31.6,31.2,32.7,35.6,31.1,46.5,36.4,32.4,30.5,28.0,27.3,27.4,2014
Kegonga,-,-,-,-,-,-,-,31.3,31.3,-,-,-,2014
Homabay,34.8,34.0,38.0,36.5,37.6,37.4,34.4,30.3,29.4,24.7,25.1,25.0,2014
Oyugis,34.7,35.1,38.1,40.2,43.3,39.4,35.7,27.5,25.9,26.6,30.8,,2014
Kehacha,-,-,-,38.0,36.0,-,-,-,28.0,-,-,-,2014
Migori,-,-,-,-,-,-,-,24.0,28.0,28.0,-,-,2014
SokoMjinga,-,32.9,34.9,-,-,-,-,-,-,-,-,-,2014
Kabarnet,33.3,33.3,38.9,,43.3,-,-,-,-,-,-,-,2014
Kipkelion,-,-,-,-,-,-,40.9,-,-,-,-,-,2014
MuthurwaNarok,33.6,34.0,33.5,37.3,37.4,41.4,40.0,44.0,38.0,34.0,35.4,29.0,2014
Nakuru Town,45.7,54.0,55.6,50.0,57.3,55.0,59.0,55.7,50.0,46.0,45.0,42.5,2014
Kapsabet,34.8,39.1,39.1,39.1,41.3,42.9,43.5,43.5,43.5,43.5,31.5,,2014
Kitale,30.0,31.3,30.7,31.3,37.5,37.5,37.5,29.2,26.0,24.0,22.9,20.8,2014
Kapenguria,,32.0,32.9,36.0,39.5,40.0,40.0,40.0,42.7,-,-,-,2014
Eldoret,30.0,34.0,32.0,40.5,33.3,37.5,40.0,38.7,33.6,28.9,30.4,32.5,2014
Burn Forest,30.0,35.0,35.0,35.6,34.5,41.9,42.8,37.6,36.0,35.0,33.0,23.0,2014
Turbo,26.0,30.0,32.5,32.0,34.4,37.0,36.0,32.0,27.3,23.6,20.7,20.0,2014
Kipkaren,26.0,29.0,31.5,32.0,35.2,36.0,36.0,33.4,30.6,24.0,21.0,20.0,2014
Iten,35.8,38.5,39.6,40.0,45.0,50.0,50.0,45.0,40.6,34.3,27.5,25.0,2014
Kajiado,41.3,-,50.0,50.0,50.0,50.0,47.0,50.0,50.0,50.0,50.0,-,2014
Bungoma Town,33.3,34.7,34.4,33.7,36.4,39.2,40.5,39.1,29.5,29.0,29.2,29.6,2014
Kimilili,-,-,33.8,-,37.5,37.5,39.9,-,21.3,20.9,22.0,22.9,2014
Kapsokwony,28.0,,29.3,32.7,36.0,38.3,37.9,33.0,27.8,25.3,25.0,23.2,2014
Bumala,32.7,31.0,34.1,38.1,42.9,41.3,39.1,25.0,24.7,32.5,-,30.4,2014
Busia Town,32.4,32.1,34.9,38.1,40.0,41.9,35.7,23.8,24.8,26.6,-,25.0,2014
Butere,35.2,31.4,31.1,-,-,41.3,39.5,29.6,30.1,31.6,31.1,28.8,2014
Kakamega,36.5,37.1,34.6,35.6,38.6,39.3,39.5,34.5,27.3,27.5,31.1,29.3,2014
Mumias,-,31.5,31.3,-,-,42.3,38.7,31.2,29.3,31.8,31.5,28.5,2014
Mundeta,33.3,33.3,34.9,35.7,38.1,38.1,35.7,-,31.7,29.7,26.2,-,2014
Cheptula,33.7,34.1,36.5,38.1,36.9,37.5,35.7,-,33.3,28.1,29.4,-,2014
Mbale,35.7,35.7,33.3,34.9,33.3,36.1,33.8,-,27.4,28.6,24.6,-,2014
Muthurwa,50.0,40.0,45.2,48.7,50.0,44.4,45.0,47.6,45.5,45.0,42.9,42.9,2014
Kawangware,42.9,47.5,47.6,50.0,50.0,42.9,45.5,42.9,40.9,42.9,42.9,42.9,2014
Burma,50.0,45.0,50.0,45.0,45.0,40.0,45.0,45.0,42.9,45.0,45.0,45.0,2014
Gikomba,47.6,50.0,50.0,50.0,50.6,45.0,45.5,42.9,40.9,40.9,45.0,45.0,2014
Kangemi,48.9,50.0,48.9,43.6,43.6,44.4,42.4,44.4,45.5,42.9,42.9,42.9,2014
Korokocho,47.6,47.4,45.0,45.0,50.0,40.9,45.5,43.6,43.9,43.9,45.0,45.0,2014
Toi,50.0,50.0,45.0,45.5,50.0,40.0,40.9,42.9,45.0,42.9,45.0,42.9,2014
KIAMBU,35.0,35.0,40.0,40.0,35.0,35.0,,,,,40.0,40.0,2013
LIMURU,35.0,35.0,35.0,,35.0,35.0,,,40.0,40.0,40.0,40.0,2013
THIKA,39.6,37.8,36.3,36.3,38.0,,33.8,36.3,40.0,47.0,,,2013
GATUNDU,23.6,22.9,25.7,24.8,24.8,,19.3,17.1,19.3,17.4,,,2013
KUTUS,36.4,34.8,30.4,,,,,,,,,,2013
SAGANA,38.0,32.6,31.1,26.1,,,,,,,,,2013
KERUGOYA,34.1,39.1,27.3,,,,,,,,,,2013
MUTHITHI,42.4,55.0,23.8,24.2,27.2,28.6,,33.3,36.9,40.2,36.9,,2013
MUKUYU,43.3,33.3,30.2,26.2,28.6,28.6,,33.3,33.3,35.2,38.1,38.1,2013
KIRIAINI,34.0,40.3,38.1,36.2,33.7,31.5,,35.8,39.2,38.0,25.8,40.0,2013
ENGINNEER,40.0,40.0,38.8,35.0,35.0,41.5,40.0,40.0,40.0,40.0,40.0,,2013
NYERI,43.8,40.0,40.0,38.3,36.7,,,,,,,,2013
ENDARASHA,43.8,45.0,45.0,42.8,36.4,40.1,40.5,38.6,,,,,2013
KARATINA,42.5,40.0,38.1,34.6,33.3,33.3,33.3,33.3,,,,,2013
GAKINDU,45.0,40.5,38.1,40.1,46.2,58.7,53.1,35.7,,,,,2013
NANYUKI,40.6,39.3,40.2,38.6,37.5,30.4,38.5,38.7,40.7,,43.8,42.0,2013
NYAHURURU,36.6,32.0,40.0,38.8,31.8,36.4,36.4,36.4,,40.9,43.6,42.4,2013
KALOLENI,40.0,38.5,40.0,39.0,38.0,38.0,38.0,75.6,35.0,,,,2013
MALINDI,40.0,40.0,39.9,40.0,40.5,40.0,40.0,31.3,35.0,40.0,40.0,,2013
KIBAUNI KILIFI,40.0,40.8,40.0,40.0,40.0,40.0,40.0,40.0,37.5,,,,2013
UKUNDA,,,,40.0,40.0,,38.0,38.0,38.0,38.0,38.0,,2013
KWALE,,,,48.3,48.3,48.8,,,38.0,38.7,39.0,39.0,2013
MWEMBE TAYARI,,,,44.6,46.3,50.0,49.4,42.9,45.0,45.0,,,2013
MAJENGO,,,,42.8,45.0,43.8,43.0,39.5,43.3,42.4,,,2013
MACKINON,,,,50.0,42.0,60.0,40.0,40.0,40.0,40.0,,,2013
SEGA,44.8,42.0,45.0,50.0,47.2,46.9,48.7,41.9,44.0,42.6,,,2013
KONGOWEA,42.3,40.8,43.5,41.1,39.5,39.8,39.8,39.1,36.0,37.0,38.0,,2013
HOLA,40.0,20.0,35.0,37.5,35.0,,,,50.0,30.0,36.7,38.8,2013
GARSEN,50.0,50.0,47.0,60.0,60.0,60.0,45.0,41.7,40.0,30.0,30.0,,2013
BURA TANA,50.0,35.0,25.0,35.0,32.5,,,,42.5,30.0,35.0,37.0,2013
RUNYENJES,29.6,28.4,27.3,22.7,27.3,27.3,27.3,,31.2,35.0,36.4,36.4,2013
EMBU TOWN,31.8,27.3,27.3,27.3,,27.3,22.7,27.3,31.8,34.6,36.4,36.4,2013
SIAKAGO,31.8,31.8,22.7,,27.3,,,27.3,30.2,35.3,38.1,38.1,2013
MWINGI,30.0,30.0,35.0,31.5,31.5,,33.0,33.0,34.8,35.0,35.0,35.0,2013
KALUNDU,35.0,35.0,,30.0,30.0,,30.0,30.0,31.8,34.5,35.0,35.7,2013
MACHAKOS,35.9,35.6,40.1,38.5,34.5,,35.0,35.0,,,,35.0,2013
TALA,,,33.0,22.4,22.5,24.0,23.8,24.0,,,,29.5,2013
MAUA,38.9,33.3,33.3,22.9,25.0,30.0,30.0,30.0,30.0,35.0,,,2013
KIANJAI,35.6,26.7,27.8,27.5,27.8,27.8,25.6,25.6,33.3,37.8,,,2013
GAKOROMERE,36.9,36.4,,25.6,25.0,27.8,33.3,33.3,33.3,38.9,38.9,,2013
MARSABIT,,,,,37.5,50.0,,,,,42.5,,2013
WOTE,35.3,,,27.4,29.1,,,34.4,,,,,2013
DARAJA MBILI,36.4,,37.9,36.4,37.5,36.9,37.7,37.4,37.5,40.9,40.9,40.9,2013
KIBIRIGO,33.3,33.3,33.3,39.1,,,,31.3,35.4,37.9,37.5,,2013
NYANGUSU,,,35.2,,36.8,39.4,36.4,36.9,38.6,45.5,39.2,,2013
RIOCHANDA,31.3,29.2,33.3,35.4,,,,34.8,36.2,39.1,39.1,,2013
NYABITE,33.3,33.3,33.3,36.0,,,,33.3,35.0,37.0,39.1,,2013
MIRUKA,31.5,,31.3,,38.2,39.8,36.7,36.4,38.6,45.5,40.3,,2013
IGARE,,,35.6,,37.7,39.2,36.4,36.4,40.8,41.3,41.7,,2013
KIBUYE,35.8,35.9,38.6,39.7,35.7,34.8,33.3,32.9,34.6,34.8,,,2013
AHERO,36.4,36.4,37.5,40.9,38.2,37.5,37.3,37.5,,2.9,41.5,,2013
KIBOSWA,36.4,35.2,40.9,37.3,35.9,34.1,34.5,32.9,34.2,35.2,38.0,39.1,2013
SONDU,36.4,36.4,37.5,37.5,37.7,36.4,37.3,37.5,,2.6,42.1,40.9,2013
BONDO,35.0,36.0,36.5,,36.4,36.4,32.3,31.7,33.5,36.1,,,2013
SIAYA,31.7,33.3,36.4,36.2,35.6,36.0,29.3,33.3,34.6,45.2,,,2013
NGIYA,29.8,33.6,,36.4,36.4,36.4,29.1,32.2,32.7,37.4,,,2013
UNGUJA,31.8,31.8,36.4,36.4,38.0,40.0,29.7,30.7,33.3,34.9,,,2013
HOMABAY,,,,35.4,33.8,,,35.7,,37.4,,,2013
OYUGIS,31.8,35.2,36.9,42.1,41.2,,36.4,33.9,39.3,43.1,43.3,,2013
KEHACHA,31.8,,,,29.0,32.0,32.0,31.5,37.5,36.8,40.0,,2013
SOKO MJINGA,,,,,,,,,,35.1,39.5,35.7,2013
KABARNET,30.6,32.5,38.9,38.9,33.3,29.0,33.3,33.0,34.8,38.0,37.8,38.9,2013
MUTHURWA,,,,,,,,,,33.8,36.4,,2013
NAKURU,,55.6,55.6,,37.5,43.9,50.5,40.0,51.1,52.2,40.0,,2013
KAPSABET,32.6,34.8,35.9,37.0,37.0,,,,,,,,2013
KITALE,28.8,,40.0,40.0,50.0,,,29.2,30.2,30.7,28.8,27.1,2013
ELDORET,37.5,40.0,40.0,40.0,40.0,34.6,33.3,,30.6,30.0,,,2013
BURN FOREST,32.0,33.8,40.0,40.0,33.3,33.7,,,,,,,2013
TURBO,25.0,25.0,31.7,36.0,31.6,30.6,,,30.0,30.0,,,2013
KIPKAREN,,37.5,40.0,38.0,35.9,30.0,,,30.0,29.0,,,2013
ITEN,30.8,33.5,35.0,37.5,35.0,33.5,31.7,35.0,37.5,,39.0,35.0,2013
KAJIADO,50.0,50.0,50.0,50.0,50.0,,,40.0,41.1,50.0,50.0,,2013
