MARKETS,Jan,Feb,March,April,May,JUNE,JULY,August,Sep,Oct,Nov,Dec,year
SIPILI,36.36,31.82,31.82,.,.,.,.,40.5,45.83,52.5,36.69,33.33,2012
MARIAKANI,40,40,.,.,.,.,.,.,.,.,.,.,2012
KALOLENI,45,45,.,.,.,.,.,.,.,.,.,.,2012
MALINDI,42,40,36.43,36.67,41,47.5,44,42.5,41.25,35,35,38.33,2012
KIBAUNI KILIFI,45,40,.,.,.,.,.,.,.,.,.,.,2012
UKUNDA,41.82,40,40,40,40.4,42,.,50,50,50,50,52.5,2012
MKUNGUNI,50,50,50,60,57.27,59.44,58.57,54.71,54.06,51.25,.,.,2012
MWEMBE TAYARI,49,45,37.92,40.5,45.07,45.75,41.8,50,52.5,55,51.25,49.5,2012
MAJENGO,45.45,38.5,40.22,37.25,34.6,33,35.4,35.5,34,36.4,36.75,38,2012
MACKINON,59,60,60,60,52,60,60,.,.,.,.,.,2012
SEGA,41.79,40,40,45,46,43.4,45,50,51.25,55,50,50,2012
KONGOWEA,40,38,37,36.5,45,44.5,39.6,39.75,38.25,40.4,42,44,2012
HOLA,.,35,40,35,.,48.75,49,50,44,42,41.36,.,2012
GARSEN,40,40,35,40,40,44,45,.,45,45,48.67,50,2012
BURA TANA,.,.,.,30,.,45.54,44,30,36.67,36,41.11,45,2012
RUNYENJES,40.91,36.36,36.36,31.82,35.45,37.06,38.64,36.98,32.61,33.33,31.82,.,2012
EMBU TOWN,36.36,36.36,29.55,.,36.93,38.08,41.89,37.01,41.21,31.82,31.82,.,2012
SIAKAGO,38.1,38.1,.,35.71,38.04,40.04,40.61,35,32.5,33.41,37.5,.,2012
MWINGI,37,33,34,34,34,37.89,40,40,35,35,40,.,2012
MIGWANI,38,38,30,.,.,36.22,40,.,.,.,.,.,2012
KALUNDU,38,30,32,.,.,40.57,38.82,37.86,36.5,35,.,.,2012
MACHAKOS TOWN,37,37,35,.,36.75,39.74,45.39,43.58,38,44.44,44.44,.,2012
TAWA,.,.,.,.,.,.,43.47,43.33,44.44,44.44,44.44,.,2012
TALA,30,37.5,.,.,33.55,33.59,42.79,44.44,39.57,41.82,.,.,2012
MAUA,50,39.58,36.88,37.5,43.75,50,50,50,.,.,.,.,2012
KIANJAI,.,33.33,30,35.56,33.33,38.89,36.67,36.67,33.33,.,.,.,2012
MWENDANTU,36.36,31.82,30,.,35.78,.,50,43.75,38.89,38.89,.,.,2012
WOTE,38,38,.,.,.,39.25,38.79,38,.,.,38,.,2012
GARISSA TOWN,.,55.56,55.56,62.5,47.22,.,.,.,.,.,.,.,2012
MANDERA TOWN,.,.,.,50,.,.,.,.,.,.,.,.,2012
DARAJA MBILI,40.91,36.36,34.09,45.45,47.73,.,.,.,38.63,39.6,36.93,37.23,2012
KIBIRIGO,36,32,34,41.67,.,.,37.5,41.67,33.33,33.33,.,.,2012
RIOSIRE,37.5,43.48,39.13,39.58,40.79,47.06,.,.,.,.,.,.,2012
RIOCHANDA,36,39.58,31.25,40.82,46.74,.,41.67,31.25,33.33,.,.,.,2012
NYABITE,40.91,36,33.33,44.9,.,.,41.67,37.5,34,35.42,.,.,2012
MOGONGA,.,43.18,38.64,45.45,47.73,45.85,.,.,35.53,37.21,37.69,.,2012
NYAMACHE,.,.,35.42,43.48,.,.,.,.,35.5,35.65,34.78,.,2012
KIBUYE,36.36,36.36,.,43.18,54.44,55,49.73,38.64,36.93,31.93,34.66,34.47,2012
AHERO,42.05,38.64,38.64,.,.,.,.,.,.,.,.,.,2012
KIBOSWA,34.09,.,.,45.45,50.69,51.67,44.09,78.3,35.8,35,34.09,35.5,2012
SONDU,38.64,38.64,38.64,38.64,.,.,.,.,.,.,.,36.36,2012
BONDO,37.5,37.5,.,42.5,49.3,50,50,37.5,.,35,.,.,2012
SIAYA,.,.,.,40.91,45.45,.,38.64,.,.,.,.,.,2012
NGIYA,.,.,31.82,.,.,.,31.82,.,.,.,.,.,2012
UGUNJA,.,.,.,36.36,45.45,.,34.09,.,.,.,.,.,2012
OYUGIS,36.36,35.71,40.48,40.91,40.48,.,45.45,38.1,31.82,36.36,.,.,2012
KABARNET,35,30,35,37.5,42.05,45,.,.,37.5,.,.,.,2012
KERICHO,.,.,.,.,.,.,52.73,54.55,34.58,35.5,.,.,2012
NAKURU TOWN,55.56,50,50,50,50,50,50,.,.,.,.,.,2012
KAPSABET,34.78,34.78,34.78,.,47.05,43.48,43.48,43.48,34.78,34.78,32.61,.,2012
KITALE,35,35,35,.,40.86,43.33,47.33,48.33,36.67,32.5,.,.,2012
ELDORET,40,40,40,40,47.19,48.75,49.93,47,42.5,39,31.67,32.5,2012
BURNT FOREST,32.5,35,35,37.5,37.43,45,45,41.43,42.5,35.28,32.86,35,2012
TURBO,.,.,.,32,31,33.5,45,43.33,37.5,34.17,31.43,31.67,2012
KIPKAREN,37.5,35,30,37.5,51.11,47.5,49.17,47.27,40,31.25,31.67,32.5,2012
ITEN,35,41.25,37.5,34.67,35,.,.,45,37.5,35.05,35,29.17,2012
BUNGOMA TOWN,35.71,36.36,38.1,41.67,46.5,.,.,.,35,31.82,30.43,.,2012
KIMILILI,31.82,33.33,31.25,33.33,50.4,.,.,.,29.55,29.55,27.08,.,2012
KAPSOKWONY,30.43,34.09,36.36,33.33,.,.,.,.,34.09,31.82,30.43,.,2012
BUTERE,37.5,33.33,31.25,35.42,41.67,.,.,29.17,27.08,.,29.17,.,2012
KAKAMEGA TOWN,36.36,40.4,37.5,.,40.91,.,39.77,38.64,38.64,36.84,35.08,.,2012
MUMIAS,40.48,.,36.36,44.62,.,.,.,36.36,.,.,31.82,.,2012
MUDETE,38.1,33.33,33.33,32.14,46.83,45,.,.,.,.,.,.,2012
CHEPTULU,38.1,35.71,33.33,42.86,47.62,43.18,.,.,.,.,.,.,2012
MBALE,35.71,35.71,33.33,35.71,45.37,.,.,.,.,.,.,.,2012
WAKULIMA,.,.,.,.,54.86,58.25,66.67,60,55.56,55.56,.,.,2012
KAWANGWARE,38.1,40.48,40,42.5,42.86,42.86,42.86,45,47.37,50.65,.,.,2012
BURMA,40,41.03,40,45,54.9,55.56,55.56,51.85,55.56,55.56,55.56,.,2012
KIKOMBA,40,40.51,37.5,40,52.03,55.06,56.79,52.78,55.56,50,50,.,2012
KANGEMI,38.64,40.48,42.5,42.5,45,45,45,45,45.45,45,50,.,2012
KOROGOCHO,38.64,40,35,40,42.5,44.94,53.09,51.19,47.62,50,50,.,2012
KIBERA(TOI),38.1,40.91,40,43.93,45,45,42.86,45,47.62,50,52.63,.,2012
NYAMAKIMA,.,.,.,.,.,.,.,.,.,34.78,.,.,2012
KIAMBU,22.5,22.5,22.5,35,45,50,55,.,.,40,45,.,2011
LIMURU,20,20,27.5,37.5,45,50,50,.,.,40,45,.,2011
THIKA,23.81,30,28.57,31.82,35,50,100,40,40,40,.,.,2011
GATUNDU,23.81,25,40,35,35,50,55,40,37.5,21.43,.,.,2011
KUTUS,22.73,25,27.27,30.95,43.48,43.48,47.83,.,.,34.78,40.91,40.91,2011
SAGANA,22.73,27.27,26.09,35,37.5,41.67,54.55,.,.,36.36,36.36,36.36,2011
KERUGOYA,22.73,25,26.09,45,43.48,47.83,47.83,.,.,39.13,43.48,40.91,2011
MUTHITHI,19.05,19.05,28.57,30.95,38.1,40.48,95.24,38.1,38.1,36.9,38.1,.,2011
MUKUYU,23.81,23.81,26.19,30.95,38.1,38.1,57.14,38.1,38.1,38.1,38.1,40.48,2011
KIRIAINI,21.43,21.43,.,35.71,38.1,47.62,52.38,47.62,42.86,40.48,40.48,40.48,2011
ENGINEER,19.05,18.18,20,33.33,35,.,50,45.45,45.45,40,36.36,.,2011
NYERI,25,30,30,42.5,42.5,50,.,.,.,.,.,.,2011
KARATINA,20,22.5,22.5,25,50,50,.,.,.,.,.,.,2011
GAKINDU,22.5,20,25,30,40,45,.,.,.,.,.,.,2011
NANYUKI,42.36,22.22,27.78,38.89,44.44,50,55.56,61.11,50,47.22,45.92,44.44,2011
SIPILI,.,.,.,29.55,35,.,50,.,38.1,22.73,36.36,36.36,2011
MARIAKANI,.,.,.,.,.,.,40,50,45,45,45,.,2011
KALOLENI,.,.,.,.,.,.,45,50,50,47.5,.,.,2011
MALINDI,20,25,25,.,.,.,.,.,50,40,42,45,2011
KIBAUNI KILIFI,.,.,.,.,.,.,45,50,50,45,45,.,2011
KWALE,30,30,30,34.5,36.8,40,41,50,61.25,68,68.75,51.75,2011
MWEMBE TAYARI,25.2,36,48.75,47.5,58,67.25,63,51.25,55,50,50,51.25,2011
MAJENGO,25,34.75,48.75,48.75,44.6,44.75,44.6,41.5,42.25,43.8,44.75,43.25,2011
MACKINON,.,.,.,.,.,.,.,.,.,50,48.75,48.75,2011
SEGA,24,26.25,35,35,33,50,45,43.75,40,.,.,.,2011
KONGOWEA,20.8,25.5,32.25,35,38.6,47.5,41.8,39.5,36.5,40,.,.,2011
GARSEN,.,.,.,.,.,.,.,.,.,.,50,.,2011
RUNYENJES,20.45,22.73,25,27.27,36.36,44.32,50,40.91,36.36,40.91,40.91,40.91,2011
EMBU TOWN,20.45,22.73,22.73,31.82,43.18,45.45,50,40.91,36.36,40.91,40.91,40.91,2011
SIAKAGO,23.81,23.81,23.81,28.57,40.3,50,52.38,47.62,42.86,40.48,42.86,.,2011
MWINGI,20,22.73,25,34,36,50,50,38,36,35,40,38,2011
MIGWANI,20,20,25,30,42,45,50,42,40,.,40,.,2011
KALUNDU,.,.,.,.,.,.,.,38,36,37,42,.,2011
MACHAKOS TOWN,20,20,25,.,42,45,49,47.37,38,40.05,38,38,2011
TALA,18,17,18,.,35,50,48,38.1,45,45,42.86,.,2011
MAUA,20,.,.,.,.,62.5,62.5,50,56.25,50,50,.,2011
KIANJAI,25.56,22.22,26.67,34.44,35.56,.,55.56,44.44,44.44,38.89,42.22,.,2011
MWENDANTU,17,.,22.73,27.27,36.36,.,45.45,40.91,40.91,36.36,36.36,.,2011
WOTE,20,20,20,35,45,45,45,40,40,45,42,42,2011
DARAJA MBILI,21.43,20.45,.,35.71,47.62,.,54.55,38.64,40.91,38.64,43.18,45.45,2011
KIBIRIGO,18.75,20.83,22,42.5,50,54.76,50,41.67,37.5,.,.,.,2011
RIOSIRE,21.05,20.45,30.95,30.95,40.48,.,45.45,38.64,45.45,40.91,47.83,39.58,2011
RIOCHANDA,17.39,20,20,35,42.86,52.38,50,39.13,36,.,40.63,.,2011
NYABITE,16.67,20,24,.,50,56,56,37.5,37.5,.,37.5,.,2011
MOGONGA,18.18,26.32,25,43.18,.,.,59.09,40.91,40,.,45.45,40.91,2011
NYAMACHE,20,24,28,40,50,.,50,34.78,45.83,45.45,41.3,.,2011
KIBUYE,20.45,25,28.03,40,.,59.09,40.91,43.18,40.91,40.91,38.64,.,2011
AHERO,22.73,27.27,29.55,38.1,45.24,50,54.55,50,34.09,40.91,.,.,2011
KIBOSWA,.,22.73,25.65,40,40,56.52,36.36,36.36,36.36,34.09,34.09,34.09,2011
SONDU,20.45,25,.,38.1,50,.,54.55,45.45,34.09,38.64,.,.,2011
BONDO,.,.,.,.,.,.,50,50,49,47.5,.,.,2011
OYUGIS,22.73,28.57,29.55,38.64,56.82,59.52,40.48,.,.,.,.,.,2011
KABARNET,.,.,.,.,.,.,45,50,40,40,.,.,2011
NAKURU TOWN,22.22,27.78,27.78,27.78,27.78,72.22,66.67,66.67,55.56,55.56,.,.,2011
KAPSABET,20.45,21.74,26.09,42.86,45.45,52.17,56.52,43.48,34.78,34.78,34.78,34.78,2011
KITALE,15,25,25,45,60,60,54.17,46.21,40,31.25,35,.,2011
ELDORET,20,25,25,40,43.75,50,.,60,.,40,40,40,2011
BURNT FOREST,17.5,20,20,40,.,.,.,50,.,45,37.5,.,2011
TURBO,15.22,16,25,30,42.86,.,.,56,32,24,24,20,2011
KIPKAREN,17.5,25,27.5,45,50,55,.,45,.,32.5,35,35,2011
ITEN,.,.,.,.,.,.,.,.,42.5,42.5,35,35,2011
BUNGOMA TOWN,18.75,18.18,29.55,.,47.73,56.82,54.17,33.33,29.17,26.04,34.78,40.48,2011
KIMILILI,19.05,18.18,27.27,.,41.82,54.76,56.52,32.61,30.43,30.43,31.25,34.09,2011
KAPSOKWONY,15.91,15.91,22.73,.,43.18,57.14,54.17,37.5,33.33,32.61,32.61,33.33,2011
BUTERE,16.52,.,.,36.36,40.91,59.09,.,31.82,29.17,30.43,33.33,33.33,2011
KAKAMEGA TOWN,15.91,25,29.55,43.18,52.27,.,56.82,.,33.33,33.33,35.71,36.36,2011
MUMIAS,.,.,.,.,.,.,.,31.82,29.17,32.61,38.1,42.86,2011
MUDETE,15.91,19.05,28.57,.,47.62,.,52.38,47.62,42.86,40.48,40.48,38.1,2011
CHEPTULU,16.67,23.81,28.57,.,47.62,.,52.38,47.62,40.91,40.91,40.48,40.48,2011
MBALE,21.43,23.81,28.57,.,47.62,.,57.14,47.62,45.24,38.1,38.1,40.48,2011
KAWANGWARE,23.81,22.73,22.73,35.71,42.86,47.62,50,50,47.62,40.91,38.64,38.1,2011
BURMA,25,25,25,38,40,50,.,50,50,45,40,40,2011
KIKOMBA,22.5,23.81,23.81,38.1,45.24,47.5,47.62,47.62,47.62,38.1,36.36,38.1,2011
KANGEMI,23.81,23.81,23.81,35.71,42.86,50,50,50,50,42.86,38.64,40.91,2011
KOROGOCHO,22.5,22.73,.,35,42.5,42.5,45.45,45.45,47.62,40.91,36.96,38.1,2011
KIBERA(TOI),25,23.81,23.81,44.74,47.5,55,52.38,52.38,47.62,40,38.1,36.36,2011
KIAMBU,17.5,17.5,16.5,17.5,17.5,.,18.25,17.5,20,17.5,20,20,2010
LIMURU,20,20,20,20,20,.,16.75,15,17.5,17.5,17.5,17.5,2010
THIKA,14.29,25,20,20,22,25,20,22.73,22.73,25,25,25,2010
GATUNDU,19,20,25,25,20,22.73,20,22.73,22.73,23.81,25,20,2010
KUTUS,.,.,.,.,13.04,14,13.04,13.04,13.64,13.64,.,.,2010
SAGANA,.,.,.,.,22.73,20.83,21.43,13.66,15.91,14.29,.,.,2010
KERUGOYA,.,.,.,.,18.18,18.18,15.91,15.91,13.64,15.22,.,.,2010
MUTHITHI,14.29,14.29,16.67,16.67,16.67,16.67,14.29,14.29,14.29,14.29,19.05,19.05,2010
MUKUYU,33.33,33.33,28.57,28.57,28.57,19.05,14.29,14.29,14.29,14.29,14.29,16.67,2010
KIRIAINI,33.33,33.33,33.33,33.33,28.57,23.81,16.67,19.05,16.67,16.67,16.67,16.67,2010
ENGINEER,.,.,30,30,27.27,22.73,25,20.45,.,20,18.18,18.18,2010
NANYUKI,38.89,33.33,33.33,27.78,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,2010
SIPILI,34.09,33.33,27.27,.,26.19,23.81,.,.,.,.,.,.,2010
MARIAKANI,.,.,.,.,.,.,30,30,30,.,.,.,2010
KALOLENI,.,.,.,.,.,27,27,25,25,.,.,.,2010
MALINDI,35,30,30,30,25,25,.,.,.,20,20,18.79,2010
KIBAUNI KILIFI,.,.,.,.,.,25,20,20,20,.,.,.,2010
RUNYENJES,30,25,20,17.5,13.64,13.64,13.64,13.64,13.64,13.64,15.91,18.18,2010
EMBU TOWN,31.5,27.5,20,20,13.64,15.91,13.64,13.64,13.64,13.64,18.18,18.18,2010
SIAKAGO,32.5,22.5,20,17.5,17.5,15,15,14.29,17.14,34.42,15.91,19.05,2010
MWINGI,.,.,.,.,.,19,19.09,20,20,20,18,20,2010
MIGWANI,30,25,25,15.91,15,15,14,15,14,14,14,15,2010
KALUNDU,.,.,.,.,20,20,20,18,18,18,18,.,2010
"MACHAKOS
TOWN",28.5,28,.,20,20,17,15,18,15,17,17,18,2010
TALA,.,.,.,.,10,10,10,.,.,11,.,.,2010
KIANJAI,37.22,22.22,15.56,11.11,11.11,12.22,11.11,11.11,11.11,11.11,.,.,2010
MWENDANTU,32,25,18.18,15,13.64,0,12,10.91,11.82,13,.,.,2010
WOTE,28,25,.,18,18,17,15,17,17,17,17,17,2010
DARAJA MBILI,22.73,23.64,24.09,25,22.73,18.18,22.73,15.91,18.18,19.05,22.73,22.73,2010
KIBIRIGO,.,.,.,23.08,23.08,20.83,16,16,14.95,18,18,20.45,2010
RIOSIRE,.,.,.,.,.,19,20,13.04,.,14,18,.,2010
RIOCHANDA,.,.,22.92,22.92,18.75,16,14,14,14,18,16,18,2010
NYABITE,.,.,.,20,18,18.75,16,14,15,18,16,18,2010
MOGONGA,.,.,.,.,.,16.67,19.05,14.74,12.5,14.58,15.91,.,2010
Nyamache,.,.,.,.,.,14,16,16,16,16,16,.,2010
KIBUYE,29.55,28.18,27.27,27.27,20.45,18.18,15.91,.,.,.,.,.,2010
AHERO,29.55,28.18,27.27,22.73,21.59,18.18,18.18,18.18,18.18,18.18,20.45,20.45,2010
KIBOSWA,27.27,27.27,27.27,27.27,19.13,17.39,15.22,.,.,.,.,.,2010
SONDU,29.55,29.55,25,20.45,20.45,18.18,18.18,15.91,15.91,15.91,20.45,.,2010
BONDO,.,.,.,.,.,22.5,19.5,17.5,17.5,18.18,20.45,20.45,2010
OYUGIS,25,26.73,28.57,27.27,18.18,18.18,17.39,15.91,17.86,.,.,.,2010
NAKURU TOWN,.,.,.,.,.,.,.,.,.,27.78,27.78,.,2010
KAPSABET,.,.,.,26.09,25,21.74,21.74,18.48,17.39,15.22,17.39,17.39,2010
KITALE,35,35,32.5,25,22.5,25,.,20,17.5,16.67,15,15,2010
ELDORET,28.75,28.75,28.75,27.5,25,25,22.5,22.5,20,17.5,17.5,.,2010
BURNT FOREST,.,.,.,22.73,22.73,25,23.75,15,22.5,20,.,20,2010
TURBO,22,22,22,24,20,20.8,18,18.48,18,14,11.2,10.4,2010
KIPKAREN,24,30,27.5,25,25,22.5,25,25,10.8,12,14,.,2010
"BUNGOMA
TOWN",30,.,.,22.73,20.45,18.18,18.18,18.18,18.18,14.58,18.18,.,2010
KIMILILI,30,25,25,20.83,20.83,.,18,18,16,12.5,12,.,2010
KAPSOKWONY,23.91,25.22,23.91,21.74,19.23,17.69,17.31,17.31,19.05,.,12.5,.,2010
BUMALA,23.81,23.81,28.57,.,.,.,.,.,.,16.67,.,.,2010
BUSIA TOWN,21.43,21.43,18.1,18.1,.,.,.,.,.,16.67,.,.,2010
"KAKAMEGA
TOWN",29.55,27.27,27.27,27.27,22.73,20.45,20.45,20.45,18.18,18.18,15.91,15.91,2010
MUDETE,28.57,23.81,22.38,21.43,21.43,19.05,21.43,21.43,19.05,16.67,16.67,16.67,2010
CHEPTULU,28.57,26.19,26.19,21.43,19.05,19.05,16.67,19.05,16.67,16.67,16.67,18.1,2010
MBALE,28.57,23.81,20.48,21.43,19.05,23.81,20.48,21.43,19.05,16.67,16.67,18.1,2010
KAWANGWARE,34.09,34.76,30.95,30.95,23.81,22.73,22.22,22.22,20,17.39,19.05,20,2010
BURMA,35,30,30,30,25,23,23,23,20,20,20,20,2010
GIKOMBA,35.71,32.5,32.5,30,21.43,22.5,22.73,23.81,22.22,22.73,20,19.05,2010
KANGEMI,30.95,30.95,30.95,30,22.73,21.43,22.73,22.73,22.22,17.39,20,19.05,2010
KOROGOCHO,33.33,30.95,30.95,28.57,22.73,21.74,21.43,20.45,20.45,20.45,20,20,2010
KIBERA(TOI),33.33,32.5,31.58,30.95,23.68,21.43,21.43,21.74,20,20,19.05,20,2010
KIAMBU,35,35,.,.,33.8,34.7,48.6,.,.,.,32.5,.,2009
LIMURU,30,32.5,.,.,37.5,37.5,37.5,.,.,32.5,30,.,2009
MUTHITHI,35,35,35,35,40,.,.,.,.,.,.,,2009
MUKUYU,33.3,35,26,33.3,35.7,38.1,.,.,.,33.3,33.3,31,2009
KIRIAINI,33.3,38.1,.,35.7,38.1,38.1,33.3,.,.,35.7,31,.,2009
NANYUKI,35.3,33.3,34.2,43.8,44.4,50,44.4,44.4,.,44.4,44.4,44.4,2009
SIPILI,20,20,46.6,25,.,.,.,.,.,25,.,.,2009
MARIAKANI,33.5,35,35,35,35,35,35,35,.,36,36,36,2009
KALOLENI,32,32,35,35,35,35,35,35,.,36,36,36,2009
MALINDI,30,35,35,35,40,.,.,.,.,30,35,35,2009
KIBAUNI KILIFI,35,35,35,35,35,35,35,35,.,.,36,35,2009
GARSEN,22.5,.,25,25,25,.,.,.,,.,,.,2009
RUNYENJES,35,37.5,37.5,37.5,40,35,35,.,30,30,32.5,.,2009
EMBU TOWN,37.5,37.5,37.5,51.2,42.5,40,35,.,30,35,32.5,.,2009
SIAKAGO,29.6,35.7,37.5,.,43.2,38.1,37.5,35,.,32.5,32.5,32.5,2009
MIGWANI,.,35,33,40,35,34,30,.,.,50,50,28,2009
MACHAKOS TOWN,31.6,33,32,33,38.9,32,33,.,.,.,30,.,2009
TALA,30,.,.,.,.,.,.,.,,.,.,,2009
MWENDANTU,31.8,27.3,27.3,30,32,33,35,.,.,29.1,27.3,30,2009
WOTE,30,30,30,32,.,32,32,.,.,32,28,.,2009
GARISSA TOWN,40,38.9,.,.,.,.,.,.,,.,.,,2009
DARAJA MBILI,28.6,31.8,31.8,38.6,33.3,31.8,.,.,.,31.8,29.5,29.5,2009
BONDO,30,35,.,.,.,.,.,.,.,.,.,.,2009
KABARNET,25,29,30,35,35,.,.,.,.,.,.,.,2009
KAPSABET,23.9,32.6,32.6,35.7,40.5,35.7,.,.,.,.,.,.,2009
KITALE,26.2,28.6,35,35,.,37.5,35,.,35,30,30,.,2009
ELDORET,27.3,29.5,29.8,31,33.3,40,40,40,.,30,27.5,30,2009
TURBO,26.2,28.6,.,31,31,40,40,40,.,22,20,20.8,2009
KIPKAREN,25,32.5,31.8,33.3,37.5,41,37.5,32.5,.,21.2,22,22,2009
