year,code,name,ASAL,DrySpell4_MAM,DrySpell4_MAMJJA,DrySpell4_OND
1988,51363,-999,1,4.4,5.5,6.4
1989,51363,-999,1,7.2,8.9,6.2
1990,51363,-999,1,5.9,7.3,4.5
1991,51363,-999,1,8.1,10.2,7
1992,51363,-999,1,7,9.5,6.6
1993,51363,-999,1,6.6,7.7,4.6
1994,51363,-999,1,6.8,8.8,6.9
1995,51363,-999,1,5.8,8.6,7.4
1996,51363,-999,1,7.1,8.9,6.3
1997,51363,-999,1,3,4.7,5.2
1998,51363,-999,1,5.8,8.6,6.2
1999,51363,-999,1,5.5,7.6,5.5
2000,51363,-999,1,4.8,5.9,6
2001,51363,-999,1,6.7,8.4,5.6
2002,51363,-999,1,5.7,6.8,6
2003,51363,-999,1,5,6.1,7.2
2004,51363,-999,1,5.7,7.4,6
2005,51363,-999,1,6.7,7.8,6.7
2006,51363,-999,1,6,7,5.7
2007,51363,-999,1,6.7,9.2,4
2008,51363,-999,1,6.5,8.5,4.2
2009,51363,-999,1,6.4,7.4,5.5
2010,51363,-999,1,5.4,7.2,5.1
2011,51363,-999,1,5,6.6,4.9
2012,51363,-999,1,8,9,5.1
2013,51363,-999,1,5.6,8.9,5.9
2014,51363,-999,1,7.9,10.9,6
2015,51363,-999,1,6.2,8.5,6.4
2016,51363,-999,1,3.5,6.9,1.4
2017,51363,-999,1,1.7,3.7,3.1
1981,51364,-999,1,3.3,5.3,3.6
1982,51364,-999,1,5.3,7,6.3
1983,51364,-999,1,5,6.9,6.2
1984,51364,-999,1,5.7,6.7,5
1985,51364,-999,1,5.9,7.3,6.8
1986,51364,-999,1,4.9,6.8,6
1987,51364,-999,1,7.1,8.8,5.1
1988,51364,-999,1,5.2,6.3,5.5
1989,51364,-999,1,7,8.3,5.4
1990,51364,-999,1,5.4,6.6,5.2
1991,51364,-999,1,7.6,9.3,7.3
1992,51364,-999,1,6.7,8.6,5.8
1993,51364,-999,1,6.5,7.4,5
1994,51364,-999,1,6.5,8,5.8
1995,51364,-999,1,5.6,7.6,7.4
1996,51364,-999,1,5.9,7.4,4.8
1997,51364,-999,1,3.5,5.2,5.6
1998,51364,-999,1,5.4,7.2,5.6
1999,51364,-999,1,6,7.3,5.8
2000,51364,-999,1,4.6,5.7,5.1
2001,51364,-999,1,6,7.3,5.7
2002,51364,-999,1,5.1,6.2,5.5
2003,51364,-999,1,4.4,5.9,6.3
2004,51364,-999,1,6.5,7.9,6.5
2005,51364,-999,1,6,7.3,5.5
2006,51364,-999,1,6.7,7.6,5.4
2007,51364,-999,1,5.8,7.9,4.6
2008,51364,-999,1,5.3,6.9,3.7
2009,51364,-999,1,5.8,6.8,5.5
2010,51364,-999,1,6,7.1,5.2
2011,51364,-999,1,4.4,5.1,5.2
2012,51364,-999,1,6.6,7.4,6.2
2013,51364,-999,1,5.7,7.4,6.5
2014,51364,-999,1,7.8,10,7.5
2015,51364,-999,1,6,7.5,6.2
2016,51364,-999,1,3.5,6.5,1.3
2017,51364,-999,1,1.5,3.5,3.6
1981,51377,-999,1,5.5,9.3,7.1
1982,51377,-999,1,5.5,12.9,6.5
1983,51377,-999,1,5.5,10.2,6.3
1984,51377,-999,1,6.1,12.8,7.1
1985,51377,-999,1,4.9,9.9,7.6
1986,51377,-999,1,4.8,12.5,7.5
1987,51377,-999,1,4.2,8.9,6
1988,51377,-999,1,4.8,9.4,6.5
1989,51377,-999,1,6.5,12.1,5.8
1990,51377,-999,1,5.1,12.2,6.3
1991,51377,-999,1,6.1,11.8,6.5
1992,51377,-999,1,5.6,12.8,7.9
1993,51377,-999,1,5.5,11.7,7.8
1994,51377,-999,1,5.5,11.1,7.9
1995,51377,-999,1,6.3,12.7,6.7
1996,51377,-999,1,7.8,11.3,7.9
1997,51377,-999,1,4.4,9.3,6.3
1998,51377,-999,1,6.9,12.6,6.9
1999,51377,-999,1,6.4,12.3,7.4
2000,51377,-999,1,5.7,12.3,6.5
2001,51377,-999,1,6.4,13.1,6.2
2002,51377,-999,1,5.2,9.9,5.3
2003,51377,-999,1,4.6,10.4,7
2004,51377,-999,1,4.7,9.6,6.8
2005,51377,-999,1,5.5,12.5,6
2006,51377,-999,1,6.3,13.9,5
2007,51377,-999,1,5.3,9.8,6.8
2008,51377,-999,1,7.4,14.2,5.1
2009,51377,-999,1,5.9,12.8,6.4
2010,51377,-999,1,4.7,9.8,7
2011,51377,-999,1,5.3,9.8,4.1
2012,51377,-999,1,3.7,8.7,4.6
2013,51377,-999,1,3.4,8,6.3
2014,51377,-999,1,7.2,13.5,5.5
2015,51377,-999,1,6.3,12.7,5.9
2016,51377,-999,1,3.6,7.3,2.6
2017,51377,-999,1,4,10.4,6.8
1981,51380,-999,1,4,6.8,7.5
1982,51380,-999,1,8.2,11.9,6.8
1983,51380,-999,1,7.9,11.8,6.2
1984,51380,-999,1,4.9,7.8,6.9
1985,51380,-999,1,5.3,7.5,6.6
1986,51380,-999,1,6.1,8.8,6.3
1987,51380,-999,1,6.4,9.4,6.7
1988,51380,-999,1,6,9,5.4
1989,51380,-999,1,6.2,8.7,6.1
1990,51380,-999,1,4.8,7.4,5.8
1991,51380,-999,1,5.5,8.3,6.4
1992,51380,-999,1,6.8,10.8,8.1
1993,51380,-999,1,6.8,9.2,7
1994,51380,-999,1,6.1,10.3,7.1
1995,51380,-999,1,6.9,10.4,6.8
1996,51380,-999,1,5.5,9.2,7.2
1997,51380,-999,1,4.3,7.3,6.4
1998,51380,-999,1,5.6,8.4,8
1999,51380,-999,1,6.5,9.8,6.3
2000,51380,-999,1,7,10.4,6.6
2001,51380,-999,1,6.4,10.1,6.6
2002,51380,-999,1,5.4,7.6,5.7
2003,51380,-999,1,5,7.5,6.8
2004,51380,-999,1,5.8,7.8,7
2005,51380,-999,1,5.3,8,7
2006,51380,-999,1,6.1,8.2,5.3
2007,51380,-999,1,5.8,9.2,8.5
2008,51380,-999,1,6.2,9,7.4
2009,51380,-999,1,6.8,8.8,7.3
2010,51380,-999,1,5.8,8,6.5
2011,51380,-999,1,6.1,9.1,5.7
2012,51380,-999,1,4.9,7.4,6
2013,51380,-999,1,7,9.3,6.3
2014,51380,-999,1,7.5,10.8,5.5
2015,51380,-999,1,4.9,7.6,7.3
2016,51380,-999,1,3.6,7.7,4
2017,51380,-999,1,2.3,6.1,5.5
1981,51384,-999,1,3.8,8.8,6.8
1982,51384,-999,1,6,14.9,5.8
1983,51384,-999,1,6.1,11.7,6.3
1984,51384,-999,1,6.4,12.9,7.3
1985,51384,-999,1,5.4,12.5,7.8
1986,51384,-999,1,4.4,11.1,6.7
1987,51384,-999,1,6.8,11.7,8.3
1988,51384,-999,1,4.7,11.5,5.7
1989,51384,-999,1,6.7,11.5,6.5
1990,51384,-999,1,5.2,11.7,6.7
1991,51384,-999,1,6.5,10.9,7.7
1992,51384,-999,1,6.2,14.1,7.7
1993,51384,-999,1,7.1,13.6,8.2
1994,51384,-999,1,5.4,11.1,8
1995,51384,-999,1,5.3,11.5,7.2
1996,51384,-999,1,6.7,11.5,8.6
1997,51384,-999,1,3.8,9.1,6.3
1998,51384,-999,1,6.6,12.3,6.9
1999,51384,-999,1,7.4,14.2,7.1
2000,51384,-999,1,6.7,13,6.5
2001,51384,-999,1,7.2,14.4,5.8
2002,51384,-999,1,5.8,11.3,6.3
2003,51384,-999,1,4.4,9.7,6.7
2004,51384,-999,1,5.5,11.5,6.8
2005,51384,-999,1,6.2,14.6,6.9
2006,51384,-999,1,6,14.4,4.4
2007,51384,-999,1,6.4,11.6,6.3
2008,51384,-999,1,6.4,14.8,5.4
2009,51384,-999,1,6.3,14.6,7.1
2010,51384,-999,1,4.9,9.6,8.7
2011,51384,-999,1,4.8,9.8,4.3
2012,51384,-999,1,4.8,11,7
2013,51384,-999,1,5.3,11.2,7
2014,51384,-999,1,6.8,14.3,6.9
2015,51384,-999,1,6.4,13.4,5.2
2016,51384,-999,1,4.2,8,4
2017,51384,-999,1,3.7,10.6,7
1981,51388,-999,1,4.1,10.1,7.6
1982,51388,-999,1,7.2,13.5,6.3
1983,51388,-999,1,6.3,11.4,5.2
1984,51388,-999,1,6.3,10.9,4.7
1985,51388,-999,1,4.4,10.6,7.2
1986,51388,-999,1,4.6,10.6,6.1
1987,51388,-999,1,5.8,11.5,7.4
1988,51388,-999,1,4.4,10.6,3.6
1989,51388,-999,1,6.5,12,5.3
1990,51388,-999,1,3.8,10.2,6.8
1991,51388,-999,1,5.3,11,5.9
1992,51388,-999,1,5.9,13.3,6.1
1993,51388,-999,1,6.3,12.7,7
1994,51388,-999,1,4.8,12,6.6
1995,51388,-999,1,5,10.6,6.3
1996,51388,-999,1,6.1,11.8,7.3
1997,51388,-999,1,3.8,9.9,5.7
1998,51388,-999,1,5.5,11.3,6.9
1999,51388,-999,1,5.9,13,7.4
2000,51388,-999,1,6,14.5,6.9
2001,51388,-999,1,7,13.6,6
2002,51388,-999,1,4.6,11.1,4.7
2003,51388,-999,1,4.5,11.3,7.1
2004,51388,-999,1,4.4,11.8,7.1
2005,51388,-999,1,5.2,12.3,6.3
2006,51388,-999,1,5.2,11.8,5
2007,51388,-999,1,6.1,11.2,8.4
2008,51388,-999,1,6,11.6,6.6
2009,51388,-999,1,6.2,12.5,6.5
2010,51388,-999,1,5.6,12.5,6.6
2011,51388,-999,1,5.7,11,6
2012,51388,-999,1,3.5,9.8,5.5
2013,51388,-999,1,5.4,12.1,6.4
2014,51388,-999,1,7.4,14.7,5.7
2015,51388,-999,1,4.2,10.3,5.3
2016,51388,-999,1,5,8.9,5.5
2017,51388,-999,1,4.7,10,5.7
1981,51389,-999,1,5.2,9.2,7.1
1982,51389,-999,1,6.1,11.8,5.5
1983,51389,-999,1,5.4,10.3,6.6
1984,51389,-999,1,5.2,8.6,6.1
1985,51389,-999,1,6.1,10.5,7
1986,51389,-999,1,5.1,9.9,7.3
1987,51389,-999,1,6.6,11.5,6.1
1988,51389,-999,1,4.8,9.4,5.3
1989,51389,-999,1,6.2,10.5,6.3
1990,51389,-999,1,5.1,11,6.4
1991,51389,-999,1,6.2,11,7.6
1992,51389,-999,1,6.4,12,6.6
1993,51389,-999,1,5.4,9.7,7.1
1994,51389,-999,1,6.1,11.2,7.3
1995,51389,-999,1,6.1,11,7.7
1996,51389,-999,1,7.3,11.9,6.4
1997,51389,-999,1,4.4,9.3,6.4
1998,51389,-999,1,5.6,10.9,7.4
1999,51389,-999,1,6,11.5,7.7
2000,51389,-999,1,6.2,10.8,6.5
2001,51389,-999,1,5.9,11.5,5.8
2002,51389,-999,1,6.3,10.8,6.4
2003,51389,-999,1,4.6,9.2,7.1
2004,51389,-999,1,5.5,10.5,6.4
2005,51389,-999,1,7,12.7,7.1
2006,51389,-999,1,6.5,11.8,5.3
2007,51389,-999,1,5.1,9.5,6.6
2008,51389,-999,1,5.8,10.9,5.3
2009,51389,-999,1,5.7,10.5,6.8
2010,51389,-999,1,6.2,9.7,8
2011,51389,-999,1,5.1,8.7,5.1
2012,51389,-999,1,5.4,10.1,6.6
2013,51389,-999,1,5.5,10.6,6.6
2014,51389,-999,1,6.3,10.6,6.5
2015,51389,-999,1,6.8,11.3,5.1
2016,51389,-999,1,4.3,7.2,3
2017,51389,-999,1,3.2,7.6,6.9
1981,51392,-999,1,5.9,10.8,4.5
1982,51392,-999,1,6,12,4.9
1983,51392,-999,1,5.6,10.2,4.4
1984,51392,-999,1,4.6,8.6,4.2
1985,51392,-999,1,5.7,10.2,4.1
1986,51392,-999,1,5.1,10.2,5.1
1987,51392,-999,1,4.8,8.9,3.9
1988,51392,-999,1,4.7,9.7,3.9
1989,51392,-999,1,6.2,9.9,4.4
1990,51392,-999,1,5.4,11,4.4
1991,51392,-999,1,6.5,11.7,4.8
1992,51392,-999,1,5.2,11.2,5.4
1993,51392,-999,1,5.3,9.6,3.8
1994,51392,-999,1,6.4,11.9,5.6
1995,51392,-999,1,5.4,10,4.5
1996,51392,-999,1,6.8,11.2,5
1997,51392,-999,1,4.9,9.1,5.8
1998,51392,-999,1,6.1,11.6,4.4
1999,51392,-999,1,5.7,10.4,4.3
2000,51392,-999,1,5.5,9.9,4.7
2001,51392,-999,1,5.3,10.7,4.3
2002,51392,-999,1,6.4,10.7,3.8
2003,51392,-999,1,5.5,10.5,4.2
2004,51392,-999,1,5.8,10.3,5.5
2005,51392,-999,1,6,11.9,3.5
2006,51392,-999,1,6.9,11.5,4.1
2007,51392,-999,1,5.3,10.2,3.7
2008,51392,-999,1,6,11.5,3.9
2009,51392,-999,1,6.4,10.4,5.2
2010,51392,-999,1,6,10,4.6
2011,51392,-999,1,5.1,10.7,4.6
2012,51392,-999,1,4.7,10.5,5.4
2013,51392,-999,1,4.7,9.5,4.9
2014,51392,-999,1,6,10.6,4.6
2015,51392,-999,1,5.3,10.5,5
2016,51392,-999,1,3.8,8,2.9
2017,51392,-999,1,2.5,4.5,4.8
1981,51394,-999,1,6.2,11.4,6.3
1982,51394,-999,1,5.1,12.9,5.9
1983,51394,-999,1,5.3,10.2,5.8
1984,51394,-999,1,4.6,12.1,6.9
1985,51394,-999,1,5.7,10.1,6.6
1986,51394,-999,1,6,14,7.9
1987,51394,-999,1,3.9,9.6,5.3
1988,51394,-999,1,4.2,8.2,6.2
1989,51394,-999,1,6.9,12.7,5.7
1990,51394,-999,1,5.7,13.7,6.2
1991,51394,-999,1,5.8,12,5.1
1992,51394,-999,1,5.9,12.5,6.5
1993,51394,-999,1,5.3,11.5,6.4
1994,51394,-999,1,5.2,10.9,7.1
1995,51394,-999,1,6.3,13.2,7.4
1996,51394,-999,1,8.8,12.1,7.2
1997,51394,-999,1,4.7,9.8,6.5
1998,51394,-999,1,7.1,12,6.2
1999,51394,-999,1,7.2,14.9,5.5
2000,51394,-999,1,5.5,12.2,5.8
2001,51394,-999,1,6.2,13.3,5.5
2002,51394,-999,1,6.4,12.2,5.3
2003,51394,-999,1,5.8,11.7,6.9
2004,51394,-999,1,5.1,11.4,6.8
2005,51394,-999,1,6.3,12.3,5.2
2006,51394,-999,1,7,14.2,5
2007,51394,-999,1,5.6,9.9,5.9
2008,51394,-999,1,6.9,13.6,4.6
2009,51394,-999,1,6.1,12.9,6.1
2010,51394,-999,1,4.6,10,5.9
2011,51394,-999,1,4.9,10.5,4.9
2012,51394,-999,1,3.3,9.1,4.9
2013,51394,-999,1,3.1,8,6.3
2014,51394,-999,1,6.6,13.2,5.4
2015,51394,-999,1,5.3,12.2,6.4
2016,51394,-999,1,4.1,8.2,2.5
2017,51394,-999,1,4.2,9.3,5.4
1981,51333,-999,0,1.9,7,6.5
1982,51333,-999,0,6.2,14.7,6.4
1983,51333,-999,0,6.9,13.1,5.7
1984,51333,-999,0,5.6,9.2,4.7
1985,51333,-999,0,4.7,11.2,6.8
1986,51333,-999,0,4.8,9.5,5.9
1987,51333,-999,0,5.8,10.2,6.9
1988,51333,-999,0,4.9,10.7,5.3
1989,51333,-999,0,6,11.1,5
1990,51333,-999,0,4.2,10,5.3
1991,51333,-999,0,4.2,9.3,4.8
1992,51333,-999,0,6.4,13.7,6
1993,51333,-999,0,6.3,11.1,7.7
1994,51333,-999,0,5.1,13.1,7.9
1995,51333,-999,0,7.1,12.5,6.4
1996,51333,-999,0,4.7,10.3,6.2
1997,51333,-999,0,3.4,8.5,7.8
1998,51333,-999,0,6.7,12.4,7.3
1999,51333,-999,0,5.7,11.9,5
2000,51333,-999,0,7.2,14.1,7.3
2001,51333,-999,0,4.8,11.9,5.8
2002,51333,-999,0,5.1,11.7,5.2
2003,51333,-999,0,4.2,9.4,6.1
2004,51333,-999,0,5.1,11.2,6.3
2005,51333,-999,0,6.3,13.2,6.7
2006,51333,-999,0,5.4,11.9,5.1
2007,51333,-999,0,4.9,9.9,7.1
2008,51333,-999,0,4.9,11.3,6.5
2009,51333,-999,0,8,13.6,6.2
2010,51333,-999,0,5.4,10.4,5.5
2011,51333,-999,0,6.4,11.1,5.4
2012,51333,-999,0,4.3,10.6,6
2013,51333,-999,0,5.4,11.3,6.7
2014,51333,-999,0,6.2,14,6.7
2015,51333,-999,0,4.3,9.6,6
2016,51333,-999,0,3.6,7.1,4.9
2017,51333,-999,0,4.1,10.4,5.3
1981,51334,-999,0,1,5.3,5
1982,51334,-999,0,6.2,15.2,7
1983,51334,-999,0,4.5,11.6,4.1
1984,51334,-999,0,6.4,10.7,4.7
1985,51334,-999,0,4.4,11.1,8
1986,51334,-999,0,5.1,11.1,6.3
1987,51334,-999,0,5.6,10.1,9.2
1988,51334,-999,0,4,11.6,6.6
1989,51334,-999,0,6.4,11.4,4.8
1990,51334,-999,0,4.4,12.4,5.5
1991,51334,-999,0,5,10.7,5.7
1992,51334,-999,0,4.7,13.7,5.6
1993,51334,-999,0,5.5,10.8,5.4
1994,51334,-999,0,4.6,12.1,7.8
1995,51334,-999,0,7.1,13.2,4.3
1996,51334,-999,0,3,8,5.7
1997,51334,-999,0,3.6,9.6,7.8
1998,51334,-999,0,6.3,13.6,7.2
1999,51334,-999,0,3.8,10.9,6.2
2000,51334,-999,0,7,14.8,6.3
2001,51334,-999,0,3.5,11.8,5.6
2002,51334,-999,0,5.7,12.7,5.7
2003,51334,-999,0,4.2,11,3.9
2004,51334,-999,0,5.5,12.3,6.1
2005,51334,-999,0,6.4,14.7,5.2
2006,51334,-999,0,6.6,14.7,5.1
2007,51334,-999,0,5.6,11.8,5.1
2008,51334,-999,0,4.6,12.1,6.1
2009,51334,-999,0,8.2,15.8,4
2010,51334,-999,0,5.9,12.4,5.4
2011,51334,-999,0,5.8,11.8,4.4
2012,51334,-999,0,4,11,7.1
2013,51334,-999,0,6.8,14.1,6.4
2014,51334,-999,0,6.4,14.9,8.1
2015,51334,-999,0,6.5,13.5,6.4
2016,51334,-999,0,4.5,6.5,4.9
2017,51334,-999,0,4.2,10.7,5.7
1981,51336,-999,0,1.5,6.2,5.3
1982,51336,-999,0,6.3,14.4,6.6
1983,51336,-999,0,5.9,11.7,5.4
1984,51336,-999,0,5.9,10.2,5
1985,51336,-999,0,3.4,11.2,7.3
1986,51336,-999,0,4.8,10,5.9
1987,51336,-999,0,5.9,10.8,8.7
1988,51336,-999,0,3.7,10.5,5.7
1989,51336,-999,0,5.9,11.2,4.7
1990,51336,-999,0,3.9,11,5
1991,51336,-999,0,4.7,10.3,5.8
1992,51336,-999,0,4.7,12.7,5.2
1993,51336,-999,0,5.8,11.7,6.3
1994,51336,-999,0,4,11.7,6.8
1995,51336,-999,0,6.9,12.8,4.5
1996,51336,-999,0,3.9,8.7,5.7
1997,51336,-999,0,3.7,9,7.1
1998,51336,-999,0,6.6,13.6,7.8
1999,51336,-999,0,5.6,12.8,5.7
2000,51336,-999,0,6.9,14.4,6.9
2001,51336,-999,0,4,11.3,5.5
2002,51336,-999,0,6.1,13.4,4.9
2003,51336,-999,0,4.4,10.6,4.8
2004,51336,-999,0,5.3,12.3,6.3
2005,51336,-999,0,6.5,15,6.8
2006,51336,-999,0,5.9,13.6,4.3
2007,51336,-999,0,6.3,10.6,5.6
2008,51336,-999,0,5,12,5.6
2009,51336,-999,0,6.9,14,5.1
2010,51336,-999,0,5.5,11.6,6.2
2011,51336,-999,0,6.3,12.5,4.9
2012,51336,-999,0,4,10.3,6.6
2013,51336,-999,0,6.2,13.1,6.6
2014,51336,-999,0,5.9,14.7,7.6
2015,51336,-999,0,5.9,12.4,6.6
2016,51336,-999,0,4,7.5,4.9
2017,51336,-999,0,4,10.1,6.2
1981,51337,-999,0,2.2,6.6,6.5
1982,51337,-999,0,6.1,14.8,5.7
1983,51337,-999,0,6,11.1,6.4
1984,51337,-999,0,6.4,11.9,5.3
1985,51337,-999,0,5,11.3,8.1
1986,51337,-999,0,4.1,11.1,6.1
1987,51337,-999,0,7.1,12.5,9
1988,51337,-999,0,3.6,10.3,4.4
1989,51337,-999,0,6,11.7,6.3
1990,51337,-999,0,4.4,11.2,6.9
1991,51337,-999,0,6.6,11.8,6.1
1992,51337,-999,0,6.3,12.3,6.9
1993,51337,-999,0,6.8,13,7.8
1994,51337,-999,0,5.9,11.7,7.6
1995,51337,-999,0,6.3,12,5.7
1996,51337,-999,0,5.4,10.4,7.7
1997,51337,-999,0,3.9,8.8,5.4
1998,51337,-999,0,7.2,13.2,7.7
1999,51337,-999,0,6.5,13,5.5
2000,51337,-999,0,8.4,15.5,6.7
2001,51337,-999,0,6.2,12.9,6.4
2002,51337,-999,0,4.7,11.9,4.5
2003,51337,-999,0,4.6,10.2,5.7
2004,51337,-999,0,5.1,12.1,6.9
2005,51337,-999,0,6.6,13.3,6.3
2006,51337,-999,0,5.4,13.5,4.8
2007,51337,-999,0,6.4,11.2,4.8
2008,51337,-999,0,5.6,14.2,4.9
2009,51337,-999,0,6.5,14.2,6.2
2010,51337,-999,0,5.1,11.4,7.9
2011,51337,-999,0,5.9,11.3,4.3
2012,51337,-999,0,4.4,10.7,6
2013,51337,-999,0,4.6,10.2,6.8
2014,51337,-999,0,7.2,15.4,6.9
2015,51337,-999,0,6.1,14.3,5.9
2016,51337,-999,0,4.1,8.2,4.4
2017,51337,-999,0,4.7,10.5,6.5
1981,51350,-999,0,1.9,6.3,5.7
1982,51350,-999,0,7.1,11.7,6.2
1983,51350,-999,0,6.9,11.3,5.6
1984,51350,-999,0,5.8,8.9,6.4
1985,51350,-999,0,5.6,10.1,6.9
1986,51350,-999,0,5.5,9.1,5.1
1987,51350,-999,0,5,9.9,6.7
1988,51350,-999,0,5.3,10.3,5.1
1989,51350,-999,0,5.6,9.1,4.8
1990,51350,-999,0,4.3,8.4,6.1
1991,51350,-999,0,5.5,10,6.6
1992,51350,-999,0,6.6,13.5,6
1993,51350,-999,0,6.2,9.8,6
1994,51350,-999,0,5.7,12.5,7.4
1995,51350,-999,0,6.5,11.7,6.7
1996,51350,-999,0,5.5,11,7.8
1997,51350,-999,0,4.3,9,7.4
1998,51350,-999,0,5.5,10.7,8.1
1999,51350,-999,0,7.4,11.8,5.4
2000,51350,-999,0,5.1,8.6,7.2
2001,51350,-999,0,6.1,11,7.2
2002,51350,-999,0,5,9,6.9
2003,51350,-999,0,4.2,7.2,6.4
2004,51350,-999,0,5.5,7.9,6.4
2005,51350,-999,0,6.5,10,6.5
2006,51350,-999,0,6.9,10.9,5.6
2007,51350,-999,0,5.6,9,6.9
2008,51350,-999,0,5.8,9.7,5.2
2009,51350,-999,0,6.5,8.6,5.1
2010,51350,-999,0,5,7.8,5.6
2011,51350,-999,0,6.5,9.9,6.2
2012,51350,-999,0,5.3,10.2,7.7
2013,51350,-999,0,6.1,10.5,6.5
2014,51350,-999,0,7.1,12.7,7.7
2015,51350,-999,0,5.2,9.6,6.2
2016,51350,-999,0,3.5,7.3,4.5
2017,51350,-999,0,2.4,6.2,6
1981,51366,-999,0,2.1,4.6,7.4
1982,51366,-999,0,3.6,8.4,3.1
1983,51366,-999,0,3.5,6,4.5
1984,51366,-999,0,4.9,9.2,3
1985,51366,-999,0,1.5,6.4,4.3
1986,51366,-999,0,2.9,9.4,3.2
1987,51366,-999,0,1.9,6.8,4.5
1988,51366,-999,0,1.6,5.5,4.5
1989,51366,-999,0,2.6,6.7,1.7
1990,51366,-999,0,0.6,6.9,6.1
1991,51366,-999,0,1.7,7.7,4.7
1992,51366,-999,0,5.2,8.6,3.8
1993,51366,-999,0,4.8,11.8,5.4
1994,51366,-999,0,2.3,6.2,3.2
1995,51366,-999,0,3.7,8.5,3.1
1996,51366,-999,0,1.7,7.4,4.1
1997,51366,-999,0,3.7,8.1,2.7
1998,51366,-999,0,2.5,7.4,4.7
1999,51366,-999,0,2,8.5,2.7
2000,51366,-999,0,2.7,8.8,3.2
2001,51366,-999,0,2.7,6.7,4.6
2002,51366,-999,0,1.6,7.9,1.9
2003,51366,-999,0,3.8,9.3,5.5
2004,51366,-999,0,3.2,9.2,4.8
2005,51366,-999,0,2.8,9.3,4.2
2006,51366,-999,0,0.9,7.8,2.6
2007,51366,-999,0,4.1,8.5,5.8
2008,51366,-999,0,3.8,7.6,5.2
2009,51366,-999,0,3.2,10.7,5.7
2010,51366,-999,0,2.2,8.2,2.6
2011,51366,-999,0,3.8,7.3,2.5
2012,51366,-999,0,2.7,6.6,3.4
2013,51366,-999,0,1.5,7.5,3.9
2014,51366,-999,0,3.4,7.4,3.2
2015,51366,-999,0,2.1,6.4,2.3
2016,51366,-999,0,6.4,7.4,4.2
2017,51366,-999,0,5.6,10.2,5
1981,51368,-999,0,2.1,7.2,5.7
1982,51368,-999,0,2.6,7.2,2.9
1983,51368,-999,0,2.7,6.6,4.5
1984,51368,-999,0,5.5,12,3.7
1985,51368,-999,0,1.7,7.6,5.1
1986,51368,-999,0,1.7,7.7,3.5
1987,51368,-999,0,2.4,7.2,5.3
1988,51368,-999,0,1.8,5.7,4.9
1989,51368,-999,0,2.9,9.3,2.1
1990,51368,-999,0,0,6.3,4.9
1991,51368,-999,0,1.7,8.3,4.3
1992,51368,-999,0,4.1,8.4,2.8
1993,51368,-999,0,4.4,11.2,5.3
1994,51368,-999,0,2.1,5.9,3.5
1995,51368,-999,0,3,8,3
1996,51368,-999,0,0.4,5.9,4.5
1997,51368,-999,0,3.9,9.2,1.7
1998,51368,-999,0,2.6,6.6,5.2
1999,51368,-999,0,1.4,7.8,2.7
